gene,coef_covid
TRMT1L,0.02626653940323669
FASTKD3,-0.026113875586049426
MARCO,0.026026597274915898
MRPS18A,0.025904519557275595
SLC35B2,0.025744019833975458
RTKN,0.0256017124579875
THEMIS,0.02548708294678677
HLA-DRB1,-0.02548163404269257
TNFSF4,0.025320170433186167
PRDM8,0.025152852284725382
CCRL2,0.02497659099171714
ELL2,-0.02485103967665202
ANKAR,0.024620985133923346
PCGF1,0.024592197226103677
KIR3DL1,-0.024522728013971755
RNU6-892P,0.02444375104205591
ARHGAP5-AS1,0.024419620790252887
CXCL10,0.024358570242354848
FBXL18,0.024247434776799467
COL8A1,0.023938931896043857
MARK1,0.023938931896043857
TRPM6,0.023691665730201577
IFITM10,-0.023413729106464193
ZNF677,-0.023374460159369143
CASP5,0.02321634589821246
BPGM,-0.023204983865255383
IGLV2-14,-0.023036654163675594
CHAF1B,0.02290552406559852
CXCL3,0.022737999648709557
FEM1A,0.02262629592811364
SEC61A2,0.022467619313305116
ZNF324,0.022436541668114197
DPH1,-0.022269723770786894
MT-CO3,-0.02220551261478182
EML6,0.0221845948563483
TSPAN5,0.022121368784759222
CD34,0.02207272697940625
IL2RA,0.02203686541397447
CNKSR3,0.021860445429647442
SEZ6,0.02163156677303911
TTC22,-0.021528650061744297
EPPK1,0.021414607098046143
NID1,-0.02098876802553143
ACE,0.02056401413837243
SHISA2,0.020536795420251046
SFTPA1,-0.020286769130492023
EXPH5,0.02027000383716717
SPOCK2,-0.020202490405071803
ARID5B,-0.02013588090052265
XRCC3,0.020109423867678264
ELOVL3,-0.020084014147407177
OBSCN,0.02003835682552498
VLDLR,0.019964783890284932
KCTD14,0.019848121663822996
HYDIN,-0.01979363617868344
RARG,0.019747740873921515
ENPP1,-0.019645393602590825
DCDC1,0.019415151405742303
CASC20,-0.0194069718411331
MCC,0.01940410737694973
TNXB,0.01916752948386987
IGHV3-23,0.019135252384731176
TRIM2,0.018825685988378346
PABPC1L,-0.018823942981423723
MAGI1-IT1,0.018797078959418692
DOCK4,0.01873525257041373
SNORA75,0.01850855794990593
LINC00299,0.01848730805284805
RN7SL584P,0.018450513424439433
CRB1,0.01843061077012167
TG,0.018271882869215657
RPGRIP1L,0.018169154362902423
EVC2,0.018138176979991982
IGKV3D-15,0.018103655295751704
RNASEL,-0.017870517136070706
OARD1,-0.017811542577707618
LUCAT1,0.017715147975242547
ACP6,0.01770285675070822
CHST10,-0.017652118475448977
ZNF620,0.0174330925898324
DEFA1,0.01740732114644998
URB2,-0.017388807590831157
LCN2,0.01737293366430682
HOXA-AS2,0.01736367044969475
FKBP11,-0.017321585861234518
ENTPD1-AS1,0.017167614345827847
BANK1,-0.01714748922848693
FANCC,0.017080164587132393
DEFA3,0.017051894608230703
IGHV3-30,0.01697889496385497
PEX5L,0.016906682366539402
FRMPD1,-0.016788698263199387
STX3,-0.016717354253349463
BIK,0.01645832352923621
GUSBP11,-0.01636729281300853
GAS8,0.016347526820846305
GSTO2,0.016150862006052084
IFT172,-0.016137884842158275
LSAMP,0.016088389282764633
FAM66C,0.01597617450397744
SDK2,0.015883820947116354
UNC80,0.015880173428890636
ZNF696,-0.015494722639671207
TRIM68,-0.015194627239300491
CSPG4,0.015164409993273547
CCNE1,-0.015157622460401875
TF,0.015143547626730454
IGHV3-33,0.015138089310247037
ZFP41,0.014869249229250476
VEPH1,0.014677532922875753
OASL,-0.014659244636310728
ANKRD34B,-0.014635778470057164
ALPL,-0.014424651137589384
CSRP2,0.014220964417850758
GNG4,-0.014067054710083496
SNORA51,0.0140200236873039
MYO6,0.013956939014463803
CUBN,-0.013942952139623356
MIR17HG,-0.013863964141063957
LTF,0.013767263552576684
IGHV1-24,0.013704823611293692
LINC00702,-0.013579850444547317
KCND3,-0.013398308841563508
GOLGA6L2,0.013378319733700357
HSPA6,-0.013128164901044608
IGHV1-2,0.013030552261707965
ZNF286A,-0.012997021274179224
PLGLB1,0.012866740346308109
