cell_id,sample_id,manuscript_id,condition,n_counts,n_genes,pct_mt,length,leiden_geneformer
c000154,S557,C3,COVID-19,4684,2018,2.69000853970965,1870,5
c000155,S557,C3,COVID-19,5530,2057,3.634719710669078,1870,5
c000156,S557,C3,COVID-19,4408,2039,3.266787658802178,1868,5
c000157,S557,C3,COVID-19,5094,2057,3.5335689045936394,1868,5
c000158,S558,C4,COVID-19,5013,2017,6.7424695790943545,1868,5
c000159,S557,C3,COVID-19,5773,2026,3.6376234193660144,1866,5
c000160,S557,C3,COVID-19,4680,2019,5.170940170940171,1864,5
c000161,S557,C3,COVID-19,5248,2041,5.46875,1864,5
c000162,S557,C3,COVID-19,4826,2012,6.796518856195607,1862,5
c000163,HIP043,H4,Healthy,4763,2021,8.335082930925887,1860,5
c000164,S557,C3,COVID-19,4859,2034,5.433216711257461,1860,5
c000165,HIP043,H4,Healthy,4999,2022,4.700940188037608,1857,5
c000166,HIP043,H4,Healthy,4832,2026,7.822847682119205,1857,5
c000167,S557,C3,COVID-19,4975,2039,3.577889447236181,1857,5
c000168,S556,C2,COVID-19,5239,2029,8.856652032830693,1854,5
c000169,S557,C3,COVID-19,5806,2025,9.042369962108165,1854,5
c000170,S556,C2,COVID-19,4087,2024,6.141424027403964,1853,5
c000171,S557,C3,COVID-19,6175,2025,3.4979757085020244,1852,5
c000172,S558,C4,COVID-19,4528,2006,8.8339222614841,1852,5
c000173,S558,C4,COVID-19,4766,2021,6.336550566512799,1852,5
c000174,HIP043,H4,Healthy,4981,2043,7.488456133306565,1851,5
c000175,S558,C4,COVID-19,4810,2000,4.220374220374221,1851,5
c000176,HIP043,H4,Healthy,4524,2058,4.111405835543766,1850,5
c000177,S557,C3,COVID-19,5379,2004,5.093883621490983,1848,5
c000178,S557,C3,COVID-19,5661,2009,5.476064299593712,1846,5
c000179,S558,C4,COVID-19,4889,2007,6.545305788504806,1846,5
c000180,S557,C3,COVID-19,4730,1995,4.820295983086681,1845,5
c000181,S557,C3,COVID-19,5545,2015,8.295761947700631,1845,5
c000182,S558,C4,COVID-19,4691,2015,5.414623747601791,1843,5
c000183,S558,C4,COVID-19,4442,1997,3.9171544349392167,1842,5
c000184,S557,C3,COVID-19,7056,2027,5.839002267573696,1840,5
c000185,S558,C4,COVID-19,5265,1965,6.001899335232668,1839,5
c000186,S558,C4,COVID-19,4331,1973,3.417224659432002,1835,5
c000187,S557,C3,COVID-19,4718,1988,4.387452310300975,1833,5
c000188,S558,C4,COVID-19,5013,1959,6.7823658487931375,1832,5
c000189,S558,C4,COVID-19,4573,1983,9.796632407609884,1832,5
c000190,HIP043,H4,Healthy,4940,1995,10.668016194331983,1831,5
c000191,S557,C3,COVID-19,4428,2021,4.71996386630533,1831,5
c000192,S557,C3,COVID-19,5201,1987,4.556815996923668,1828,5
c000193,S557,C3,COVID-19,5346,1994,3.778526000748223,1827,5
c000194,S557,C3,COVID-19,4961,2004,7.236444265269099,1825,5
c000195,S557,C3,COVID-19,4123,2022,6.015037593984962,1825,5
c000196,HIP043,H4,Healthy,4503,2004,5.929380413057961,1820,5
c000197,S557,C3,COVID-19,5425,1991,3.7788018433179724,1820,5
c000198,S558,C4,COVID-19,4848,1947,3.1353135313531353,1820,5
c000199,S558,C4,COVID-19,4923,1977,8.795449928905139,1819,5
c000200,S558,C4,COVID-19,5430,1971,3.0939226519337018,1819,5
c000201,S557,C3,COVID-19,4265,1974,5.4161781946072685,1817,5
c000202,S557,C3,COVID-19,5148,1980,5.458430458430459,1817,5
c000203,S556,C2,COVID-19,5446,1967,7.858979067205288,1816,5
c000204,S557,C3,COVID-19,5030,1982,4.930417495029821,1815,5
c000205,S558,C4,COVID-19,4375,1959,5.1657142857142855,1815,5
c000206,S557,C3,COVID-19,3966,1991,2.697932425617751,1814,5
c000207,S556,C2,COVID-19,4865,1982,4.850976361767729,1813,5
c000208,S557,C3,COVID-19,4647,1996,4.3253712072304715,1813,5
c000209,HIP043,H4,Healthy,4443,1970,5.604321404456448,1812,5
c000210,S557,C3,COVID-19,4877,1964,5.105597703506254,1812,5
c000211,S557,C3,COVID-19,4887,1978,4.972375690607735,1809,5
c000212,S557,C3,COVID-19,5134,1953,3.3891702376314763,1808,5
c000213,S557,C3,COVID-19,4723,1967,4.382807537582045,1808,5
c000214,S557,C3,COVID-19,5466,1977,8.01317233809001,1808,5
c000215,S557,C3,COVID-19,5043,1980,6.0678167757287325,1808,5
c000216,S558,C4,COVID-19,4622,1977,6.490696668109043,1808,5
c000217,HIP043,H4,Healthy,4582,1960,5.739851593190746,1802,5
c000218,S557,C3,COVID-19,5632,2007,4.723011363636363,1801,5
c000219,S556,C2,COVID-19,4128,1955,5.959302325581396,1800,5
c000220,S556,C2,COVID-19,4594,1961,5.9860687853722245,1800,5
c000221,S557,C3,COVID-19,4444,1945,2.587758775877588,1800,5
c000222,HIP043,H4,Healthy,4832,1952,5.277317880794702,1799,5
c000223,S556,C2,COVID-19,5651,1988,8.72411962484516,1798,5
c000224,HIP043,H4,Healthy,4447,1967,5.554306273892512,1797,5
c000225,S557,C3,COVID-19,4497,1941,3.8470091171892373,1797,5
c000226,S558,C4,COVID-19,4559,1936,3.575345470497916,1797,5
c000227,S557,C3,COVID-19,4293,1960,4.4258094572559985,1795,5
c000228,S556,C2,COVID-19,6389,1959,3.6938488026295193,1794,5
c000229,S557,C3,COVID-19,5348,1942,6.4136125654450264,1794,5
c000230,HIP043,H4,Healthy,4627,1932,8.817808515236655,1793,5
c000231,S557,C3,COVID-19,5575,1946,3.928251121076233,1793,5
c000232,S557,C3,COVID-19,4518,1964,3.806994245241257,1793,5
c000233,S558,C4,COVID-19,4103,1938,5.069461369729466,1793,5
c000234,S557,C3,COVID-19,4697,1945,4.577389823291463,1792,5
c000235,S557,C3,COVID-19,4993,1976,3.4848788303625073,1792,5
c000236,S557,C3,COVID-19,4869,1962,3.9638529472170876,1792,5
c000237,S557,C3,COVID-19,4928,1978,5.154220779220779,1792,5
c000238,S557,C3,COVID-19,4896,1929,3.6968954248366015,1790,5
c000239,S557,C3,COVID-19,5068,1962,3.9857932123125495,1789,5
c000240,S557,C3,COVID-19,5012,1971,7.442138866719873,1789,5
c000241,S557,C3,COVID-19,6475,1958,8.617760617760618,1789,5
c000242,S557,C3,COVID-19,5143,1938,6.747034804588761,1788,5
c000243,S557,C3,COVID-19,4267,1942,5.788610264823061,1788,5
c000244,S557,C3,COVID-19,4361,1916,5.296950240770466,1785,5
c000245,S557,C3,COVID-19,4452,1945,7.210242587601078,1785,5
c000246,S558,C4,COVID-19,4114,1932,5.882352941176471,1785,5
c000247,HIP043,H4,Healthy,4016,1944,5.876494023904383,1784,5
c000248,S557,C3,COVID-19,4863,1952,4.6679004729590785,1784,5
c000249,S558,C4,COVID-19,3857,1930,2.488981073373088,1781,5
c000250,S557,C3,COVID-19,4709,1930,9.15268634529624,1780,5
c000251,S557,C3,COVID-19,4587,1946,4.708960104643558,1779,5
c000252,S557,C3,COVID-19,4054,1945,5.5007400098667985,1778,5
c000253,S558,C4,COVID-19,4261,1926,4.693733865289838,1776,5
c000254,S558,C4,COVID-19,4771,1931,3.5841542653531753,1776,5
c000255,S557,C3,COVID-19,4544,1942,3.3670774647887325,1774,5
c000256,S557,C3,COVID-19,4563,1919,3.2215647600262987,1773,5
c000257,S557,C3,COVID-19,6043,1976,6.701969220585802,1772,5
c000258,S558,C4,COVID-19,4914,1933,4.314204314204314,1772,5
c000259,S557,C3,COVID-19,4154,1910,3.2498796340876264,1771,5
c000260,HIP043,H4,Healthy,4429,1903,5.283359674870174,1767,5
c000261,S558,C4,COVID-19,4017,1919,7.5429424943988055,1767,5
c000262,S556,C2,COVID-19,4333,1916,4.292637895222709,1766,5
c000263,S557,C3,COVID-19,4473,1924,7.06460988151129,1765,5
c000264,HIP043,H4,Healthy,4300,1922,5.883720930232558,1764,5
c000265,S557,C3,COVID-19,4315,1912,6.558516801853997,1764,5
c000266,S558,C4,COVID-19,4213,1919,3.8689769760265844,1764,5
c000267,S557,C3,COVID-19,4591,1914,5.401873230233065,1763,5
c000268,S557,C3,COVID-19,4569,1919,6.0844823812650475,1762,5
c000269,S558,C4,COVID-19,4652,1910,6.298366294067068,1762,5
c000270,S557,C3,COVID-19,4326,1940,3.791030975496995,1761,5
c000271,S556,C2,COVID-19,4965,1912,5.881168177240685,1759,5
c000272,S557,C3,COVID-19,4550,1916,7.912087912087912,1759,5
c000273,S557,C3,COVID-19,4324,1914,6.082331174838113,1758,5
c000274,HIP043,H4,Healthy,3976,1896,6.086519114688128,1757,5
c000275,HIP043,H4,Healthy,3951,1909,4.758289040749178,1755,5
c000276,S558,C4,COVID-19,4348,1927,4.139834406623735,1754,5
c000277,S557,C3,COVID-19,5688,1905,4.975386779184247,1751,5
c000278,HIP043,H4,Healthy,4083,1888,6.000489835904972,1748,5
c000279,S557,C3,COVID-19,4372,1906,4.803293687099726,1748,5
c000280,S557,C3,COVID-19,4588,1934,4.533565823888405,1748,5
c000281,S556,C2,COVID-19,4442,1894,4.8176497073390365,1747,5
c000282,S558,C4,COVID-19,4859,1891,5.618440008232146,1747,5
c000283,S557,C3,COVID-19,4352,1892,2.9181985294117645,1746,5
c000284,S557,C3,COVID-19,4753,1907,3.934357248053861,1746,5
c000285,HIP043,H4,Healthy,3804,1909,3.259726603575184,1744,5
c000286,HIP043,H4,Healthy,4277,1891,6.640168342296002,1743,5
c000287,S558,C4,COVID-19,4197,1869,4.050512270669526,1742,5
c000288,S558,C4,COVID-19,4363,1918,5.0882420352968145,1742,5
c000289,S557,C3,COVID-19,4549,1903,3.7151022202681907,1740,5
c000290,S557,C3,COVID-19,4122,1912,5.312954876273653,1740,5
c000291,S558,C4,COVID-19,4374,1886,7.315957933241884,1740,5
c000292,HIP043,H4,Healthy,4052,1894,4.639684106614018,1739,5
c000293,HIP043,H4,Healthy,4215,1878,10.62870699881376,1738,5
c000294,S557,C3,COVID-19,3955,1873,3.3375474083438683,1738,5
c000295,HIP043,H4,Healthy,3811,1877,6.113880871162425,1733,5
c000296,HIP043,H4,Healthy,4188,1888,6.614135625596943,1733,5
c000297,S557,C3,COVID-19,4474,1886,4.425569959767546,1733,5
c000298,S557,C3,COVID-19,6605,1902,9.750189250567752,1733,5
c000299,S557,C3,COVID-19,4748,1914,7.518955349620893,1733,5
c000300,S556,C2,COVID-19,4885,1884,5.731832139201638,1731,5
c000301,S558,C4,COVID-19,5138,1884,4.632152588555858,1728,5
c000302,HIP043,H4,Healthy,3983,1875,5.975395430579965,1725,5
c000303,S557,C3,COVID-19,4652,1897,5.674978503869304,1725,5
c000304,S558,C4,COVID-19,4762,1879,3.8009239815203695,1725,5
c000305,S557,C3,COVID-19,4317,1869,5.049803104007412,1724,5
c000306,HIP043,H4,Healthy,4771,1881,11.339341857053029,1722,5
c000307,S557,C3,COVID-19,4554,1866,3.776899429073342,1722,5
c000308,S556,C2,COVID-19,4335,1908,3.3910034602076125,1718,5
c000309,S557,C3,COVID-19,4175,1872,4.1437125748503,1715,5
c000310,S556,C2,COVID-19,4114,1884,4.642683519688867,1714,5
c000311,S558,C4,COVID-19,4028,1858,4.021847070506455,1713,5
c000312,S557,C3,COVID-19,4271,1866,4.612502926715055,1712,5
c000313,S557,C3,COVID-19,4768,1865,4.614093959731544,1712,5
c000314,S558,C4,COVID-19,3867,1849,6.8269976726144295,1712,5
c000315,S557,C3,COVID-19,5633,1852,4.402627374400852,1710,5
c000316,S556,C2,COVID-19,3835,1866,5.632333767926989,1709,5
